id_item,id_seller,item_date_create,user_type_description,title_item,description_item,detail_item,brand_item,model_item,price_item,year_item,year_model_item,state_item,address_item,flg_suspeito
IT0016,SL3434,16/01/2025,não concessionário,Honda CG 160 Titan 2024,"Moto praticamente zero km, sem detalhes. Modelo com freios CBS. Ótima para trabalho e uso diário.",motocicleta,Honda,CG 160,18500,2024,2024,BA,"Av. Sete de Setembro, 100, Salvador, 40060-001",0
IT0004,SL3456,05/01/2025,concessionário,VW T-Cross 1.0 TSI 2023,"SUV seminovo, na garantia de fábrica. Modelo Comfortline com painel digital e central multimídia.",SUV,Volkswagen,T-Cross,128000,2023,2023,PR,"Rua Marechal Deodoro, 630, Curitiba, 80010-010",0
IT0008,SL4321,09/01/2025,não concessionário,Ford Ranger XLS 2.2 Diesel 4x4 2019,"Picape robusta, ideal para trabalho e lazer. Câmbio automático. Capota marítima e protetor de caçamba.",picape,Ford,Ranger,162000,2019,2019,MS,"Av. Afonso Pena, 400, Campo Grande, 79002-070",0
IT0024,SL4815,21/01/2025,concessionário,Vendo Food Truck Sprinter,"Food truck pronto para trabalhar, com cozinha industrial montada. Chamar no e-mail: venda.foodtruck@email.com",van,Mercedes-Benz,Sprinter,195000,2019,2019,RJ,"Rua da Passagem, 90, Rio de Janeiro, 22290-030",1
IT0030,SL4815,01/02/2025,concessionário,Ram 2500 com e-mail na descrição,"Camionete gigante, motor Cummins. Interessados mandar proposta para: claudio.vendas@email.com.br",picape,Ram,2500,380000,2020,2020,RJ,"Av. Brasil, 12500, Rio de Janeiro, 21012-351",1
IT0011,SL5566,12/01/2025,concessionário,Scania R450 6x2 Highline 2021,"Caminhão em excelente estado, único dono. Plano de manutenção em dia. Suspensão a ar.",caminhão,Scania,R450,650000,2021,2021,SP,"Rod. Presidente Dutra, km 210, Guarulhos, 07170-350",0
IT0002,SL5678,03/01/2025,não concessionário,Honda HR-V EXL 1.8 2019,"SUV completo, único dono. Todas as revisões feitas na concessionária. Possui teto solar e bancos de couro.",SUV,Honda,HR-V,105000,2019,2019,RJ,"Av. das Américas, 5000, Rio de Janeiro, 22640-102",0
IT0020,SL5678,19/01/2025,não concessionário,VW Nivus Highline 1.0 TSI 2022,"SUV Coupé em estado de zero. Único dono, baixa km. Revisões em dia. ACC, frenagem de emergência.",SUV,Volkswagen,Nivus,120000,2022,2022,RJ,"Av. das Américas, 5000, Rio de Janeiro, 22640-102",0
IT0021,SL7734,20/01/2025,concessionário,Fiat Argo 2022 - LIGUE JÁ 11987654321,"Carro super econômico, documentação ok. Para mais detalhes, me chame no WhatsApp 11-98765-4321.",hatch,Fiat,Argo,75000,2022,2022,SP,"Av. das Nações Unidas, 1000, São Paulo, 04578-907",1
IT0029,SL7734,30/01/2025,concessionário,Mustang GT (11) 98877-6655,"Ford Mustang GT V8, preto, 2019. Para mais informações, contato preferencial por WhatsApp.",sedan,Ford,Mustang,450000,2019,2019,SP,"Av. Europa, 500, São Paulo, 01449-000",1
IT0012,SL7788,13/01/2025,não concessionário,Yamaha NMAX 160 ABS 2023,"Scooter muito nova, com apenas 3.000 km. Útil para deslocamentos urbanos. Documentos em ordem.",motoneta,Yamaha,NMAX 160,21000,2023,2023,SP,"Rua Clélia, 1500, São Paulo, 05042-000",0
IT0005,SL7890,06/01/2025,não concessionário,Chevrolet Onix 1.0 Turbo LT 2020,"Ótimo estado de conservação. Econômico e potente. Segundo dono, com manual e chave reserva.",hatch,Chevrolet,Onix,72000,2020,2020,SP,"Av. Paulista, 1578, São Paulo, 01310-200",0
IT0019,SL7890,18/01/2025,não concessionário,Hyundai HB20 Sense Plus 1.0 2024,"Veículo novo, emplacado. Oportunidade. Completo com central multimídia e controles de estabilidade.",hatch,Hyundai,HB20,82000,2024,2024,SP,"Av. Paulista, 1578, São Paulo, 01310-200",0
IT0007,SL8765,08/01/2025,concessionário,Hyundai Creta N-Line 1.0T 2024,"Modelo esportivo N-Line, pronta entrega. Financiamos com as melhores taxas do mercado.",SUV,Hyundai,Creta,165000,2024,2024,SC,"Av. Beira Mar Norte, 2000, Florianópolis, 88015-000",0
IT0026,SL8810,25/01/2025,não concessionário,Toyota Hilux - chama no Whats 62987654321,"Toyota Hilux CD SRV 4x4, único dono, todas as revisões feitas. Pneus novos, sem detalhes.",picape,Toyota,Hilux,250000,2020,2020,GO,"Rua 9, 120, Goiânia, 74110-100",1
IT0003,SL9012,04/01/2025,concessionário,Toyota Corolla XEi 2.0 2021,"Carro particular, muito bem cuidado. Versão XEi com câmbio automático CVT. Nunca foi batido.",sedan,Toyota,Corolla,132000,2021,2021,MG,"Av. Raja Gabaglia, 1000, Belo Horizonte, 30494-170",0
IT0022,SL9012,20/01/2025,concessionário,Chevrolet S10 LTZ 2.8 Diesel 4x4 2021,"Picape muito conservada, uso particular. Versão LTZ, a mais completa. Bancos de couro e capota marítima.",picape,Chevrolet,S10,240000,2021,2021,MG,"Av. Raja Gabaglia, 1000, Belo Horizonte, 30494-170",0
IT0015,SL9831,15/01/2025,não concessionário,Vendo Trator Valtra A950,"Trator agrícola em perfeito estado, ótimo para lavoura. Poucas horas de uso. Tratar com João.",caminhão,Scania,R450,310000,2021,2021,MT,"Rua dos Colonizadores, 150, Sinop, 78550-000",1
IT0025,SL9831,22/01/2025,não concessionário,Reboque Carretinha - Ver Preço,"Reboque para transporte de veículos leves, em bom estado. Contato via e-mail para negociar: joao.vendas@email.net",reboque,Goiana,Carga,8500,2022,2022,MT,"Rua dos Colonizadores, 150, Sinop, 78550-000",1
IT0013,SL9900,14/01/2025,não concessionário,Fiat Toro Volcano 2.0 Diesel 4x4 2022,"Picape completa, automática de 9 marchas. Ótima para quem busca conforto e capacidade de carga.",picape,Fiat,Toro,170000,2022,2022,MG,"Av. Amazonas, 2500, Belo Horizonte, 30140-002",0
